pub_year,pub_month,year_month,paper_count
2009,4,2009-04,126
2009,5,2009-05,477
2009,6,2009-06,179
2009,7,2009-07,228
2009,8,2009-08,213
2009,9,2009-09,193
2009,10,2009-10,189
2009,11,2009-11,205
2009,12,2009-12,194
2010,1,2010-01,164
2010,2,2010-02,169
2010,3,2010-03,218
2010,4,2010-04,198
2010,5,2010-05,209
2010,6,2010-06,214
2010,7,2010-07,194
2010,8,2010-08,150
2010,9,2010-09,171
2010,10,2010-10,154
2010,11,2010-11,166
2010,12,2010-12,198
2011,1,2011-01,167
2011,2,2011-02,148
2011,3,2011-03,197
2011,4,2011-04,189
2011,5,2011-05,183
2011,6,2011-06,180
2011,7,2011-07,200
2011,8,2011-08,183
2011,9,2011-09,168
2011,10,2011-10,209
2011,11,2011-11,224
2011,12,2011-12,268
2012,1,2012-01,182
2012,2,2012-02,184
2012,3,2012-03,223
2012,4,2012-04,186
2012,5,2012-05,200
2012,6,2012-06,166
2012,7,2012-07,181
2012,8,2012-08,235
2012,9,2012-09,210
2012,10,2012-10,185
2012,11,2012-11,211
2012,12,2012-12,298
2013,1,2013-01,190
2013,2,2013-02,221
2013,3,2013-03,208
2013,4,2013-04,242
2013,5,2013-05,219
2013,6,2013-06,225
2013,7,2013-07,240
2013,8,2013-08,295
2013,9,2013-09,230
2013,10,2013-10,278
2013,11,2013-11,293
2013,12,2013-12,277
2014,1,2014-01,245
2014,2,2014-02,210
2014,3,2014-03,264
2014,4,2014-04,264
2014,5,2014-05,280
2014,6,2014-06,310
2014,7,2014-07,234
2014,8,2014-08,228
2014,9,2014-09,208
2014,10,2014-10,254
2014,11,2014-11,225
2014,12,2014-12,447
2015,1,2015-01,223
2015,2,2015-02,241
2015,3,2015-03,278
2015,4,2015-04,292
2015,5,2015-05,219
2015,6,2015-06,268
2015,7,2015-07,250
2015,8,2015-08,300
2015,9,2015-09,302
2015,10,2015-10,321
2015,11,2015-11,278
2015,12,2015-12,465
2016,1,2016-01,262
2016,2,2016-02,368
2016,3,2016-03,347
2016,4,2016-04,304
2016,5,2016-05,290
2016,6,2016-06,425
2016,7,2016-07,241
2016,8,2016-08,321
2016,9,2016-09,307
2016,10,2016-10,319
2016,11,2016-11,341
2016,12,2016-12,395
2017,1,2017-01,258
2017,2,2017-02,319
2017,3,2017-03,307
2017,4,2017-04,265
2017,5,2017-05,303
2017,6,2017-06,310
2017,7,2017-07,342
2017,8,2017-08,296
2017,9,2017-09,285
2017,10,2017-10,347
2017,11,2017-11,287
2017,12,2017-12,347
2018,1,2018-01,265
2018,2,2018-02,346
2018,3,2018-03,331
2018,4,2018-04,320
2018,5,2018-05,303
2018,6,2018-06,295
2018,7,2018-07,332
2018,8,2018-08,304
2018,9,2018-09,356
2018,10,2018-10,356
2018,11,2018-11,382
2018,12,2018-12,347
2019,1,2019-01,326
2019,2,2019-02,376
2019,3,2019-03,393
2019,4,2019-04,397
2019,5,2019-05,408
2019,6,2019-06,400
2019,7,2019-07,437
2019,8,2019-08,417
2019,9,2019-09,450
2019,10,2019-10,455
2019,11,2019-11,716
2019,12,2019-12,693
2020,1,2020-01,1039
2020,2,2020-02,1906
2020,3,2020-03,4649
2020,4,2020-04,11642
2020,5,2020-05,17630
2020,6,2020-06,17687
2020,7,2020-07,17986
2020,8,2020-08,17558
2020,9,2020-09,18639
2020,10,2020-10,17644
2020,11,2020-11,15580
2020,12,2020-12,15267
2021,1,2021-01,16589
2021,2,2021-02,16504
2021,3,2021-03,19768
2021,4,2021-04,17151
2021,5,2021-05,19158
2021,6,2021-06,18762
2021,7,2021-07,17083
2021,8,2021-08,16950
2021,9,2021-09,17284
2021,10,2021-10,18604
2021,11,2021-11,17061
2021,12,2021-12,17367
2022,1,2022-01,18130
2022,2,2022-02,16776
2022,3,2022-03,19213
2022,4,2022-04,15807
2022,5,2022-05,11976
2022,6,2022-06,273
2022,7,2022-07,61
2022,8,2022-08,57
2022,9,2022-09,16
2022,10,2022-10,6
2022,11,2022-11,3
2022,12,2022-12,118
2023,1,2023-01,1
